id,year,period,gender,sector,education,experience,union,ability,wage,log_wage
1,2016,1,Female,Public,10,6,0,-2.000929237731511,5.883,1.7721187265996767
1,2017,2,Female,Public,10,7,0,-2.000929237731511,8.1,2.0918683791032326
1,2018,3,Female,Public,11,8,0,-2.000929237731511,7.67,2.0373478599572405
1,2019,4,Female,Public,11,9,0,-2.000929237731511,6.753,1.9099192790178465
1,2020,5,Female,Public,11,10,0,-2.000929237731511,7.688,2.039720605345204
1,2021,6,Female,Public,12,11,0,-2.000929237731511,10.231,2.3254646649827606
1,2022,7,Female,Public,12,12,0,-2.000929237731511,NA,NA
1,2023,8,Female,Public,12,13,1,-2.000929237731511,8.301,2.116358101852557
2,2016,1,Female,Private,11,6,0,0.3337771974335701,17.217,2.8459171009158895
2,2017,2,Female,Private,11,7,0,0.3337771974335701,18.963,2.9424821771148695
2,2018,3,Female,Private,12,8,0,0.3337771974335701,13.797,2.6244499251694395
2,2019,4,Female,Private,12,9,0,0.3337771974335701,18.283,2.905946673815726
2,2020,5,Female,Private,12,10,0,0.3337771974335701,17.108,2.83953525377381
2,2021,6,Female,Private,13,11,1,0.3337771974335701,23.182,3.1433793555640754
2,2022,7,Female,Private,13,12,0,0.3337771974335701,20.31,3.0111378340131885
2,2023,8,Female,Private,13,13,0,0.3337771974335701,18.898,2.9390561943868807
3,2016,1,Male,Public,14,10,0,1.1713251273587943,25.461,3.2371351953036838
3,2017,2,Male,Public,14,11,0,1.1713251273587943,20.243,3.007818253352408
3,2018,3,Male,Public,15,12,0,1.1713251273587943,21.601,3.072734546633303
3,2019,4,Male,Public,15,13,0,1.1713251273587943,NA,NA
3,2020,5,Male,Public,15,14,0,1.1713251273587943,27.448,3.3123028636991476
3,2021,6,Male,Public,16,15,1,1.1713251273587943,32.513,3.48165498199637
3,2022,7,Male,Public,16,16,1,1.1713251273587943,25.739,3.247989741366663
3,2023,8,Male,Public,16,17,0,1.1713251273587943,26.789,3.287972839592422
4,2016,1,Female,Private,16,3,0,2.0595392422993046,33.405,3.5086925453242737
4,2017,2,Female,Private,16,4,0,2.0595392422993046,31.592,3.4529133345768686
4,2018,3,Female,Private,17,5,0,2.0595392422993046,38.863,3.6600543746388734
4,2019,4,Female,Private,17,6,0,2.0595392422993046,42.25,3.7435963597074364
4,2020,5,Female,Private,17,7,0,2.0595392422993046,40.416,3.699236477034065
4,2021,6,Female,Private,18,8,0,2.0595392422993046,49.107,3.894000739075655
4,2022,7,Female,Private,18,9,0,2.0595392422993046,45.577,3.8194021054088867
4,2023,8,Female,Private,18,10,0,2.0595392422993046,46.068,3.830108848511707
5,2016,1,Female,Private,8,13,0,-1.376861598240521,6.365,1.850825561501642
5,2017,2,Female,Private,8,14,0,-1.376861598240521,7.321,1.9907746350523037
5,2018,3,Female,Private,9,15,0,-1.376861598240521,8.167,2.100101328002756
5,2019,4,Female,Private,9,16,0,-1.376861598240521,10.229,2.325263383515137
5,2020,5,Female,Private,9,17,0,-1.376861598240521,6.181,1.8214453868861844
5,2021,6,Female,Private,10,18,0,-1.376861598240521,6.909,1.9328229045269043
5,2022,7,Female,Private,10,19,1,-1.376861598240521,9.408,2.2415638857303315
5,2023,8,Female,Private,10,20,0,-1.376861598240521,9.512,2.2525913200197745
6,2016,1,Male,Private,8,14,0,-1.1508555656271056,9.27,2.2267405565115146
6,2017,2,Male,Private,8,15,0,-1.1508555656271056,7.204,1.9745874875622467
6,2018,3,Male,Private,9,16,0,-1.1508555656271056,7.546,2.02100867075117
6,2019,4,Male,Private,9,17,0,-1.1508555656271056,10.71,2.3712036710114344
6,2020,5,Male,Private,9,18,0,-1.1508555656271056,10.362,2.3381703578252275
6,2021,6,Male,Private,10,19,0,-1.1508555656271056,9.07,2.2049224691210094
6,2022,7,Male,Private,10,20,0,-1.1508555656271056,11.132,2.4098465746747157
6,2023,8,Male,Private,10,21,0,-1.1508555656271056,8.428,2.1315453058646843
7,2016,1,Female,Public,11,12,0,-0.7058213947601213,8.479,2.137568526851548
7,2017,2,Female,Public,11,13,0,-0.7058213947601213,9.609,2.262662056029432
7,2018,3,Female,Public,12,14,0,-0.7058213947601213,10.679,2.3682417445543185
7,2019,4,Female,Public,12,15,0,-0.7058213947601213,8.367,2.1243179168878563
7,2020,5,Female,Public,12,16,0,-0.7058213947601213,10.283,2.33052888806002
7,2021,6,Female,Public,13,17,1,-0.7058213947601213,12.031,2.487462517647114
7,2022,7,Female,Public,13,18,0,-0.7058213947601213,12.109,2.4939466042769376
7,2023,8,Female,Public,13,19,0,-0.7058213947601213,10.243,2.326569316887309
